id	reason	timestamp	page_id	assessment_phase_in_session_id	session_id
832560	scroll	2023-12-15 22:22:40.849000 +00:00	24111	2701	7053
1749197	tab_activated	2023-12-28 21:34:18.397000 +00:00	47227	6251	11501
832561	scroll	2023-12-15 22:22:41.693000 +00:00	24111	2701	7053
1749199	tab_activated	2023-12-28 21:34:29.738000 +00:00	47227	6251	11501
832562	scroll	2023-12-15 22:22:42.318000 +00:00	24111	2701	7053
1749401	tab_activated	2023-12-28 21:34:43.289000 +00:00	47227	6251	11501
832571	tab_updated	2023-12-15 22:23:00.141000 +00:00	24113	2701	7053
832574	tab_activated	2023-12-15 22:23:20.357000 +00:00	24113	2701	7053
1749404	tab_activated	2023-12-28 21:35:09.237000 +00:00	47227	6251	11501
1749417	tab_activated	2023-12-28 21:35:19.928000 +00:00	47227	6251	11501
832579	tab_activated	2023-12-15 22:23:35.362000 +00:00	24113	2701	7053
864686	scroll	2023-12-16 17:04:56.125000 +00:00	24532	2723	7081
1749418	scroll	2023-12-28 21:35:20.592000 +00:00	47227	6251	11501
1749419	scroll	2023-12-28 21:35:20.783000 +00:00	47227	6251	11501
864687	scroll	2023-12-16 17:04:56.188000 +00:00	24532	2723	7081
1749420	scroll	2023-12-28 21:35:20.843000 +00:00	47227	6251	11501
1749421	scroll	2023-12-28 21:35:20.624000 +00:00	47227	6251	11501
1749422	scroll	2023-12-28 21:35:20.722000 +00:00	47227	6251	11501
1749423	scroll	2023-12-28 21:35:20.658000 +00:00	47227	6251	11501
1749424	scroll	2023-12-28 21:35:20.753000 +00:00	47227	6251	11501
1749425	scroll	2023-12-28 21:35:21.842000 +00:00	47227	6251	11501
1749426	scroll	2023-12-28 21:35:21.974000 +00:00	47227	6251	11501
1749427	scroll	2023-12-28 21:35:21.874000 +00:00	47227	6251	11501
1749428	scroll	2023-12-28 21:35:22.158000 +00:00	47227	6251	11501
1749429	scroll	2023-12-28 21:35:22.099000 +00:00	47227	6251	11501
864688	scroll	2023-12-16 17:04:56.340000 +00:00	24532	2723	7081
1749430	scroll	2023-12-28 21:35:22.218000 +00:00	47227	6251	11501
1749431	scroll	2023-12-28 21:35:22.343000 +00:00	47227	6251	11501
864689	scroll	2023-12-16 17:04:56.153000 +00:00	24532	2723	7081
864690	scroll	2023-12-16 17:04:56.008000 +00:00	24532	2723	7081
1749432	scroll	2023-12-28 21:35:22.374000 +00:00	47227	6251	11501
1749433	scroll	2023-12-28 21:35:22.405000 +00:00	47227	6251	11501
1749434	scroll	2023-12-28 21:35:22.533000 +00:00	47227	6251	11501
1749435	scroll	2023-12-28 21:35:21.908000 +00:00	47227	6251	11501
1749436	scroll	2023-12-28 21:35:22.031000 +00:00	47227	6251	11501
1749437	scroll	2023-12-28 21:35:22.473000 +00:00	47227	6251	11501
1749438	scroll	2023-12-28 21:35:22.437000 +00:00	47227	6251	11501
1749440	tab_activated	2023-12-28 21:35:30.132000 +00:00	47227	6251	11501
1749441	scroll	2023-12-28 21:35:30.749000 +00:00	47227	6251	11501
1749442	scroll	2023-12-28 21:35:30.655000 +00:00	47227	6251	11501
864691	scroll	2023-12-16 17:04:56.371000 +00:00	24532	2723	7081
1749443	scroll	2023-12-28 21:35:30.816000 +00:00	47227	6251	11501
1749444	scroll	2023-12-28 21:35:31.218000 +00:00	47227	6251	11501
864692	scroll	2023-12-16 17:04:56.246000 +00:00	24532	2723	7081
1749445	scroll	2023-12-28 21:35:30.784000 +00:00	47227	6251	11501
832613	tab_activated	2023-12-15 22:25:58.481000 +00:00	24113	2701	7053
864693	scroll	2023-12-16 17:04:56.031000 +00:00	24532	2723	7081
1749446	scroll	2023-12-28 21:35:31.032000 +00:00	47227	6251	11501
864694	scroll	2023-12-16 17:04:56.281000 +00:00	24532	2723	7081
864695	scroll	2023-12-16 17:04:56.406000 +00:00	24532	2723	7081
864696	scroll	2023-12-16 17:04:56.808000 +00:00	24532	2723	7081
864697	scroll	2023-12-16 17:04:56.745000 +00:00	24532	2723	7081
864698	scroll	2023-12-16 17:04:56.840000 +00:00	24532	2723	7081
864699	scroll	2023-12-16 17:04:56.873000 +00:00	24532	2723	7081
864700	scroll	2023-12-16 17:04:56.907000 +00:00	24532	2723	7081
864701	scroll	2023-12-16 17:04:56.965000 +00:00	24532	2723	7081
864702	scroll	2023-12-16 17:04:57.089000 +00:00	24532	2723	7081
864703	scroll	2023-12-16 17:04:57.370000 +00:00	24532	2723	7081
864704	scroll	2023-12-16 17:04:57.310000 +00:00	24532	2723	7081
864705	scroll	2023-12-16 17:04:57.001000 +00:00	24532	2723	7081
864706	scroll	2023-12-16 17:04:57.184000 +00:00	24532	2723	7081
864707	scroll	2023-12-16 17:04:57.216000 +00:00	24532	2723	7081
864708	scroll	2023-12-16 17:04:57.058000 +00:00	24532	2723	7081
864709	scroll	2023-12-16 17:04:57.465000 +00:00	24532	2723	7081
864710	scroll	2023-12-16 17:04:57.277000 +00:00	24532	2723	7081
864711	scroll	2023-12-16 17:04:57.404000 +00:00	24532	2723	7081
864712	scroll	2023-12-16 17:04:57.591000 +00:00	24532	2723	7081
864713	scroll	2023-12-16 17:04:57.124000 +00:00	24532	2723	7081
864714	scroll	2023-12-16 17:04:57.653000 +00:00	24532	2723	7081
864715	scroll	2023-12-16 17:04:57.526000 +00:00	24532	2723	7081
864716	scroll	2023-12-16 17:04:57.748000 +00:00	24532	2723	7081
864717	scroll	2023-12-16 17:04:57.842000 +00:00	24532	2723	7081
864718	scroll	2023-12-16 17:04:57.903000 +00:00	24532	2723	7081
864719	scroll	2023-12-16 17:04:57.810000 +00:00	24532	2723	7081
864720	scroll	2023-12-16 17:04:57.996000 +00:00	24532	2723	7081
864721	scroll	2023-12-16 17:04:58.058000 +00:00	24532	2723	7081
864722	scroll	2023-12-16 17:04:58.151000 +00:00	24532	2723	7081
864723	scroll	2023-12-16 17:04:58.651000 +00:00	24532	2723	7081
864724	scroll	2023-12-16 17:04:58.683000 +00:00	24532	2723	7081
864725	scroll	2023-12-16 17:04:58.745000 +00:00	24532	2723	7081
